feature,horizon,IC_mean,RankIC_mean,IC_std,negative_IC_ratio,n_folds,n_samples_mean
addr_pct_1d,60,-0.006991855261011981,0.002988400386389305,0.02139202886723237,0.625,16,182.625
addr_pct_1d,90,-0.0009889061459571022,0.0003561714074875482,0.015066158370079418,0.4375,16,182.625
addr_pct_1d,120,0.0008909543935116139,0.00756831898543572,0.014851884503511102,0.5,16,182.625
addr_pct_1d,180,0.0031265016203643,-0.0024106220581020044,0.015247300196922338,0.4666666666666667,15,182.6
addr_pct_7d,1,0.01448022436121898,0.021336753410683387,0.06353879404667036,0.4117647058823529,17,182.7058823529412
addr_pct_7d,2,0.0076094013697012115,0.005735110394493197,0.07966373488555258,0.47058823529411764,17,182.7058823529412
addr_pct_7d,3,0.01473228652387398,0.022075306399509765,0.08025142425871093,0.4117647058823529,17,182.7058823529412
addr_pct_7d,5,-0.010334488532905766,-0.022899427322826193,0.07473071355432198,0.5882352941176471,17,182.7058823529412
addr_pct_7d,7,-0.03129132222852754,-0.043458872278563404,0.08281084732726271,0.5882352941176471,17,182.7058823529412
addr_pct_7d,10,-0.029362315006323123,-0.03332875742315239,0.07375091664915363,0.6470588235294118,17,182.7058823529412
addr_pct_7d,14,0.0024900098114788863,-0.0062809796749048056,0.10228406141557396,0.4117647058823529,17,182.7058823529412
addr_pct_7d,21,0.005881140750758747,0.0016993184608149585,0.07902657199191472,0.5294117647058824,17,182.7058823529412
addr_pct_7d,30,0.01621401552768996,0.026828347721202093,0.08919295557609719,0.35294117647058826,17,182.7058823529412
addr_pct_7d,45,0.014285650824484918,0.0073684752061164,0.07501732749364129,0.47058823529411764,17,182.7058823529412
addr_pct_7d,60,-0.017608700309339465,-0.017322568454786115,0.057614852545385106,0.5625,16,182.625
addr_pct_7d,90,-0.0188353193171927,-0.03771843144610852,0.07736500615099849,0.4375,16,182.625
addr_pct_7d,120,-0.019540873544607634,-0.017869252828869746,0.06813848578912263,0.75,16,182.625
addr_pct_7d,180,0.03249981068128576,0.02208804017107456,0.06088349457051515,0.13333333333333333,15,182.6
addr_z30,1,0.0021497204088964834,-0.002604984910648227,0.05516069601021101,0.5882352941176471,17,182.7058823529412
addr_z30,2,-0.009883382496560778,-0.02038542065749422,0.08333721808462917,0.5882352941176471,17,182.7058823529412
addr_z30,3,-0.012468991247014262,-0.008206962838305538,0.07329264360769594,0.6470588235294118,17,182.7058823529412
addr_z30,5,0.005514314963611888,-0.002003181452958399,0.08449439727043347,0.47058823529411764,17,182.7058823529412
addr_z30,7,-0.0046920264010950445,-0.009104520694754821,0.07367727525789124,0.47058823529411764,17,182.7058823529412
addr_z30,10,-0.011928396630691496,-0.030712282811387492,0.07862770647393474,0.5882352941176471,17,182.7058823529412
addr_z30,14,0.02216373946490786,0.0027120218049701693,0.09845923923190697,0.35294117647058826,17,182.7058823529412
addr_z30,21,0.021282173223307648,0.011252016964646776,0.09784057800960899,0.4117647058823529,17,182.7058823529412
addr_z30,30,0.016168819557485715,0.016045911748316943,0.08407315648053014,0.29411764705882354,17,182.7058823529412
addr_z30,45,0.007500207576065634,-0.0040306742214256865,0.05840899623851314,0.47058823529411764,17,182.7058823529412
addr_z30,60,-0.014273677078862713,-0.02114477409018162,0.06952096718060027,0.5,16,182.625
addr_z30,90,-0.03001975551286907,-0.04477289314576866,0.11799588232691577,0.375,16,182.625
addr_z30,120,-0.014210019075242086,-0.004266654192904855,0.10035837019305266,0.625,16,182.625
addr_z30,180,0.03926421802329743,0.03367806696959302,0.08286222953512658,0.3333333333333333,15,182.6
amplitude,1,0.014718794144083372,0.02512364046707905,0.044140209685435694,0.35294117647058826,17,182.7058823529412
amplitude,2,0.03923123335562056,0.032560778140112635,0.058261617474932394,0.29411764705882354,17,182.7058823529412
amplitude,3,0.03700560500392287,0.031044113237303415,0.06837856676273753,0.35294117647058826,17,182.7058823529412
amplitude,5,0.035002112355596374,0.03552714851137309,0.07256831005534276,0.35294117647058826,17,182.7058823529412
amplitude,7,0.026632380164190554,0.032530120982172867,0.07533392928206156,0.29411764705882354,17,182.7058823529412
amplitude,10,0.02108829321673701,0.023665053186082804,0.0933773746270107,0.29411764705882354,17,182.7058823529412
amplitude,14,0.01486449023124686,0.017904926227555833,0.11404928045544305,0.47058823529411764,17,182.7058823529412
