scope,strategy,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover
oos,quantile_asym_ls_L0.30_S0.40,0.7001059696220416,0.30007064641469444,0.40003532320734725,-0.510957647283786,-0.06007668813518818,-0.13338896122858573,-0.8324195517543304,0.16990982439487423
oos,quantile_asym_ls_L0.30_S0.30,0.6001412928293889,0.30007064641469444,0.30007064641469444,-0.0641487244206449,-0.0057260749063650085,-0.013319295188156033,-0.7472862023193311,0.18035121025154247
oos,quantile_asym_ls_L0.30_S0.20,0.5001766160367361,0.30007064641469444,0.2001059696220417,1.1861294011563346,0.07009264464993814,0.17237091340377625,-0.7387203992303454,0.14902705268153774
oos,quantile_asym_ls_L0.30_S0.10,0.4002119392440834,0.30007064641469444,0.10014129282938891,1.675091196693947,0.08896614303233186,0.22774667042522706,-0.7387203992303453,0.13478879924062648
oos,quantile_asym_ls_L0.30_S0.05,0.35022960084775695,0.30007064641469444,0.05015895443306252,1.7999034834142598,0.09327586813786848,0.2567572961608488,-0.7394494892558686,0.11058376839107736
oos,quantile_asym_ls_L0.30_S0.02,0.32020487460261393,0.30007064641469444,0.020134228187919462,2.018561120932166,0.10041974548127874,0.2854928487369853,-0.718145542245072,0.09065021357380161
oos,quantile_asym_ls_L0.20_S0.50,0.7001059696220416,0.2001059696220417,0.5,-0.8683672991672717,-0.16107569374233588,-0.36998302878763034,-0.937051093592381,0.1532985287138111
oos,quantile_asym_ls_L0.20_S0.40,0.6001412928293889,0.2001059696220417,0.40003532320734725,-0.6328313193883732,-0.083124468082026,-0.20123812484505904,-0.8527534200178839,0.16231608922638824
oos,quantile_asym_ls_L0.20_S0.30,0.5001766160367361,0.2001059696220417,0.30007064641469444,-0.2973711250269222,-0.030106581638315033,-0.07707043735916176,-0.777949976788342,0.17275747508305647
oos,quantile_asym_ls_L0.20_S0.20,0.4002119392440834,0.2001059696220417,0.2001059696220417,0.641326652815781,0.043852993515326455,0.1201786034842803,-0.6907269596214856,0.14143331751305174
