model,task,variant,best_strategy,period,period_start,period_end,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover
gru,regression,boruta_onchain,sign_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,0.6729339780844366,0.1434640857477684,0.2939005520835785,-0.5916914186572166,0.3119200571020699
gru,regression,boruta_onchain,sign_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,9.384386921750066,0.8105200794872593,1.5721362504459715,-0.5912043457434807,0.4927032661570535
gru,regression,boruta_onchain,sign_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,-0.3310962364318773,-0.1865171105893958,-0.5084544470746396,-0.4873343192936573,0.3614627285513361
gru,regression,onchain,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,5.4059736730988055,0.1745275631092668,0.7316922502045387,-0.2713077652670931,0.1191267204556241
gru,regression,onchain,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,0.997180892711122,0.1974770625901838,0.7723767062367073,-0.2713077652670931,0.1006423982869379
gru,regression,onchain,quantile_long_only_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2.340766138016005,0.3579153618533288,1.1227912505840478,-0.248574616025567,0.2355802640722724
gru,regression,onchain,quantile_long_only_0.20,cycle_2024_end,2024-04-20,2026-04-02,-0.022628543249337,-0.0116813101986327,-0.2356481039501018,-0.0393877399230604,0.030942334739803
lstm,classification,boruta_onchain,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,2.250217506394775,0.1074900370209159,0.6018382560494845,-0.3364559012119357,0.0522069292833412
lstm,classification,boruta_onchain,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,0.5729433351474873,0.1252507287214668,0.5299449597047291,-0.3364559012119357,0.0556745182012847
lstm,classification,boruta_onchain,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,1.1550200828649109,0.215008687478365,1.1208610877482652,-0.174375616094383,0.0847810979847116
